run_id,robot,arm_id,step_idx,time_s,target_x,target_y,target_z,meas_x,meas_y,meas_z,dt
20260317_132824,kuka,kuka_main,165,4.92,590.565508927378,140.097069914137,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,166,4.95,584.274857053594,140.583114952342,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,167,4.98,576.92474490131,141.151018822012,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,168,5.01,568.544937323301,141.798481752107,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,169,5.04,559.186540010181,142.521555079142,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,170,5.07,548.91975308642,143.314814814815,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,171,5.1,537.831624706361,144.171535213629,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,172,5.13,526.023804650236,145.083862340524,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,173,5.16,513.610297920184,146.042987638494,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,174,5.19,500.715218336269,147.039321496221,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,175,5.22,487.470542132494,148.062666815695,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,176,5.25,474.013861552819,149.102392579844,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,177,5.28,460.486138447181,150.147607420156,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,178,5.31,447.029457867506,151.187333184305,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,179,5.34,433.784781663731,152.210678503779,563,606.862,138.838,563,0.03
20260317_132824,kuka,kuka_main,180,5.37,420.889702079816,153.207012361506,563,474.014,149.102,563,0.03
20260317_132824,kuka,kuka_main,181,5.4,408.476195349764,154.166137659476,563,474.014,149.102,563,0.03
20260317_132824,kuka,kuka_main,182,5.43,396.668375293639,155.078464786371,563,474.014,149.102,563,0.03
20260317_132824,kuka,kuka_main,183,5.46,385.58024691358,155.935185185185,563,474.014,149.102,563,0.03
20260317_132824,kuka,kuka_main,184,5.49,375.313459989819,156.728444920858,563,474.014,149.102,563,0.03
20260317_132824,kuka,kuka_main,185,5.52,365.955062676699,157.451518247893,563,408.476,154.166,563,0.03
20260317_132824,kuka,kuka_main,186,5.55,357.57525509869,158.098981177988,563,408.476,154.166,563,0.03
20260317_132824,kuka,kuka_main,187,5.58,350.225142946406,158.666885047658,563,408.476,154.166,563,0.03
20260317_132824,kuka,kuka_main,188,5.61,343.934491072622,159.152930085863,563,408.476,154.166,563,0.03
20260317_132824,kuka,kuka_main,189,5.64,338.709477088292,159.556638981633,563,408.476,154.166,563,0.03
20260317_132824,kuka,kuka_main,190,5.67,334.530444958564,159.879530451692,563,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,191,5.7,331.349658598798,160.125292808086,563,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,192,5.73,329.089055470584,160.299957525807,563,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,193,5.76,327.638000177757,160.412072810422,563,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,194,5.79,326.851038062416,160.472877165693,563,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,195,5.82,326.545648800938,160.496472961206,563,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,196,5.85,326.5,160.5,563,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,197,5.88,326.454351199061,160.507054077587,562.990432400514,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,198,5.91,326.148961937584,160.554245668615,562.926425414982,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,199,5.94,325.361999822243,160.675854379156,562.761484865053,357.575,158.099,563,0.03
20260317_132824,kuka,kuka_main,200,5.97,323.910944529416,160.900084948385,562.457356047018,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,201,6,321.650341401202,161.249414383828,561.983552904692,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,202,6.03,318.469555041436,161.740939096616,561.31688720229,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,203,6.06,314.290522911708,162.386722036734,560.440997697303,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,204,6.09,309.065508927378,163.194139828274,559.345879313376,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,205,6.12,302.774857053594,164.166229904684,558.027412313187,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,206,6.15,295.42474490131,165.302037644025,556.486891471322,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,207,6.18,287.044937323301,166.596963504215,554.730555247157,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,208,6.21,277.686540010181,168.043110158285,552.769114957729,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,209,6.24,267.41975308642,169.62962962963,550.617283950617,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,210,6.27,256.331624706361,171.343070427259,548.293306776822,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,211,6.3,244.523804650236,173.167724681047,545.818488363637,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,212,6.33,232.110297920184,175.085975276987,543.216723187534,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,213,6.36,219.215218336269,177.078642992442,540.514024447033,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,214,6.39,205.970542132494,179.125333631391,537.738053235585,325.362,160.676,562.761,0.03
20260317_132824,kuka,kuka_main,215,6.42,192.513861552819,181.204785159689,534.917647714445,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,216,6.45,178.986138447181,183.295214840311,532.082352285555,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,217,6.48,165.529457867506,185.374666368609,529.261946764415,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,218,6.51,152.284781663731,187.421357007558,526.485975552967,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,219,6.54,139.389702079816,189.414024723012,523.783276812466,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,220,6.57,126.976195349764,191.332275318953,521.181511636363,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,221,6.6,115.168375293639,193.156929572741,518.706693223178,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,222,6.63,104.08024691358,194.87037037037,516.382716049383,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,223,6.66,93.8134599898194,196.456889841715,514.230885042271,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,224,6.69,84.4550626766994,197.903036495785,512.269444752843,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,225,6.72,76.0752550986901,199.197962355975,510.513108528677,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,226,6.75,68.725142946406,200.333770095316,508.972587686813,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,227,6.78,62.4344910726222,201.305860171726,507.654120686624,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,228,6.81,57.209477088292,202.113277963266,506.559002302697,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,229,6.84,53.0304449585638,202.759060903384,505.68311279771,206.236771,179.518875,537.977661,0.03
20260317_132824,kuka,kuka_main,230,6.87,49.8496585987979,203.250585616172,505.016447095308,62.434,201.306,507.654,0.03
20260317_132824,kuka,kuka_main,231,6.9,47.5890554705837,203.599915051615,504.542643952982,62.434,201.306,507.654,0.03
20260317_132824,kuka,kuka_main,232,6.93,46.1380001777571,203.824145620844,504.238515134947,62.434,201.306,507.654,0.03
20260317_132824,kuka,kuka_main,233,6.96,45.3510380624158,203.945754331385,504.073574585018,62.434,201.306,507.654,0.03
20260317_132824,kuka,kuka_main,234,6.99,45.0456488009382,203.992945922413,504.009567599486,62.434,201.306,507.654,0.03
20260317_132824,kuka,kuka_main,235,7.02,45,204,504,45,204,504,0.03
20260317_132824,kuka,kuka_main,236,7.05,45,204,503.951351189053,45,204,504,0.03
20260317_132824,kuka,kuka_main,237,7.08,45,204,503.625891940587,45,204,504,0.03
20260317_132824,kuka,kuka_main,238,7.11,45,204,502.787211178234,45,204,504,0.03
20260317_132824,kuka,kuka_main,239,7.14,45,204,501.240793459413,45,204,504,0.03
20260317_132824,kuka,kuka_main,240,7.17,45,204,498.831624939114,45,204,504,0.03
20260317_132824,kuka,kuka_main,241,7.2,45,204,495.44179933368,45,204,504,0.03
20260317_132824,kuka,kuka_main,242,7.23,45,204,490.988123884591,45,204,504,0.03
20260317_132824,kuka,kuka_main,243,7.26,45,204,485.41972532225,45,204,504,0.03
20260317_132824,kuka,kuka_main,244,7.29,45,204,478.715655829762,45,204,504,0.03
