Time_s,Target_X,Target_Y,Target_Z,RL_SpeedNorm,RoArm_Spd_Param,Reward,TrackingError_mm,EE_Velocity_mms,Is_Dwell
20.8,252.5,0,222.5,0.999916970729828,100,0.0379684327475578,2.05867675718425,17.6776695296637,0
21,250,0,220,0.999901056289673,100,0.10694254913204,1.29931866944714,17.6776695296637,0
21.2,250,0,220,0.999931335449219,100,-0.106681966092854,1.44326647457733,0,1
21.4,246.666666666667,13.3333333333333,212.5,0.999941110610962,100,-0.0937010173783284,3.47521686635856,78.2845592835659,0
21.6,243.333333333333,26.6666666666667,205,0.9998939037323,100,0.137680193652463,0.933906582396711,78.2845592835674,0
21.8,240,40,197.5,0.999919533729553,100,0.0336111010804241,2.10661161007345,78.2845592835659,0
22,236.666666666667,53.3333333333333,190,0.999913215637207,100,0.0650312150550607,1.7607592255038,78.2845592835659,0
22.2,233.333333333333,66.6666666666667,182.5,0.999926090240479,100,0.00429777397357083,2.42936035277434,78.2845592835674,0
22.4,230,80,175,0.999930918216705,100,-0.0204743388206452,2.70209944741463,78.2845592835659,0
22.6,226.666666666667,93.3333333333333,167.5,0.99989527463913,100,0.144154933104442,0.889596144286842,78.2845592835659,0
22.8,223.333333333333,106.666666666667,160,0.99990838766098,100,0.0935523986554695,1.44675195114297,78.2845592835687,0
23,220,120,152.5,0.99992960691452,100,-0.00783133443526036,2.56287028619706,78.2845592835646,0
23.2,216.666666666667,133.333333333333,145,0.999902486801147,100,0.122064443055092,1.13282248415242,78.2845592835646,0
23.4,213.333333333333,146.666666666667,137.5,0.999920606613159,100,0.0430410994024746,2.00282514909659,78.2845592835699,0
23.6,210,160,130,0.999947130680084,100,-0.113858843372785,3.73010714053469,78.2845592835646,0
23.8,210,160,130,0.99995630979538,100,-0.262707708017173,3.14015205916199,0,1
24,250,0,220,0.999928653240204,100,0.0407257455979337,1.67820533830326,939.414711402797,0
24.2,254.166666666667,-10,217.5,0.99994957447052,100,-0.246778354787924,3.46530110699453,55.5902669338603,0
24.4,258.333333333333,-20,215,0.999919831752777,100,0.0449731921331313,1.67747233629774,55.5902669338584,0
24.6,262.5,-30,212.5,0.999929964542389,100,0.0211562957762905,2.24379162021048,55.5902669338604,0
24.8,266.666666666667,-40,210,0.999922454357147,100,0.0620519901023895,1.79357815168321,55.5902669338604,0
25,270.833333333333,-50,207.5,0.999922215938568,100,0.0648297771304829,1.76301825570046,55.5902669338584,0
25.2,275,-60,205,0.999914407730103,100,0.103376751892054,1.33863178215291,55.5902669338604,0
25.4,279.166666666667,-70,202.5,0.999943375587463,100,-0.0567677878765028,3.10160352224411,55.5902669338604,0
25.6,283.333333333333,-80,200,0.999912440776825,100,0.114829661766302,1.21248342868156,55.5902669338584,0
25.8,287.5,-90,197.5,0.999936163425446,100,-0.00761926418261315,2.56054686670827,55.5902669338604,0
26,291.666666666667,-100,195,0.999933242797852,100,0.0114186435796916,2.35101737969861,55.5902669338604,0
26.2,295.833333333333,-110,192.5,0.999921679496765,100,0.0754388427235005,1.64619577391232,55.5902669338584,0
26.4,300,-120,190,0.99996030330658,100,-0.189578591145938,4.56367050392234,55.5902669338604,0
26.6,300,-120,190,0.999972224235535,100,-0.401249446917643,4.67313143999599,0,1
26.8,292.5,-123.333333333333,185,0.999911367893219,100,0.123491220601574,1.08139274815762,48.0523441444611,0
27,285,-126.666666666667,180,0.999948501586914,100,-0.0872698623814118,3.42084632050541,48.0523441444628,0
27.2,277.5,-130,175,0.999904751777649,100,0.156386628751811,0.754947365552711,48.0523441444611,0
27.4,270,-133.333333333333,170,0.999919295310974,100,0.0923364749166897,1.46016352292955,48.0523441444611,0
27.6,262.5,-136.666666666667,165,0.999938309192657,100,-0.0118066963628063,2.60666305446091,48.0523441444628,0
27.8,255,-140,160,0.99992436170578,100,0.069288506280648,1.71390253769566,48.0523441444611,0
28,247.5,-143.333333333333,155,0.999927878379822,100,0.0518620553992287,1.90577990785211,48.0523441444611,0
28.2,240,-146.666666666667,150,0.999926090240479,100,0.0628959207982822,1.78431349961752,48.0523441444628,0
28.4,232.5,-150,145,0.999952554702759,100,-0.110003665360372,3.68768252703449,48.0523441444611,0
28.6,225,-153.333333333333,140,0.999916851520538,100,0.11122028920126,1.25221620170289,48.0523441444611,0
28.8,217.5,-156.666666666667,135,0.999931752681732,100,0.0347584938435787,2.09404369854567,48.0523441444628,0
29,210,-160,130,0.999921441078186,100,0.0910737096156373,1.47408221974065,48.0523441444611,0
29.2,210,-160,130,0.999950766563416,100,-0.164155414674456,2.06556934907959,0,1
29.4,210,-160,130,0.999943137168884,100,-0.10858974396188,1.45391369384227,0,1
29.6,210,-160,130,0.999937236309052,100,-0.0681750387771375,1.02552790862417,0,1
29.8,210,-160,130,0.999950647354126,100,-0.162115606592574,2.05968835251619,0,1
30,210,-160,130,0.999942719936371,100,-0.10412852874617,1.4213312117833,0,1
30.2,210,-160,130,0.999959111213684,100,-0.236268202889489,2.8760118767445,0,1
30.4,210,-160,130,0.999943792819977,100,-0.111685739990275,1.50450734040938,0,1
30.6,210,-160,130,0.999950408935547,100,-0.161112621833938,2.04866504486032,0,1
30.8,210,-160,130,0.999947965145111,100,-0.141583386083569,1.83368232183834,0,1
31,210,-160,130,0.999950766563416,100,-0.162972212148034,2.06914781696122,0,1
31.2,210,-160,130,0.999947309494019,100,-0.136522517198911,1.77796518253891,0,1
